sample,greenlow,greenhigh,greenarea,redlow,redhigh,redarea,n_green,n_red,both,union,livepercent
S5,3,8,20,1.0,2,8,324,346,146,524,33.969465648854964
S6,3,8,20,1.0,2,8,320,413,137,596,30.70469798657718
S7,3,8,20,1.0,2,8,213,274,106,381,28.083989501312335
S5,3,8,20,1.0,3,8,324,269,136,457,41.137855579868706
S6,3,8,20,1.0,3,8,320,339,132,527,35.673624288425046
S7,3,8,20,1.0,3,8,213,223,103,333,33.033033033033036
S5,3,8,20,1.5,3,10,324,272,137,459,40.74074074074074
S6,3,8,20,1.5,3,10,320,340,135,525,35.23809523809524
S7,3,8,20,1.5,3,10,213,223,103,333,33.033033033033036
S5,3,8,20,1.5,4,10,324,225,128,421,46.55581947743468
S6,3,8,20,1.5,4,10,320,299,130,489,38.85480572597137
S7,3,8,20,1.5,4,10,213,193,101,305,36.721311475409834
S5,3,8,20,2.0,5,10,324,199,120,403,50.62034739454094
S6,3,8,20,2.0,5,10,320,262,125,457,42.669584245076585
S7,3,8,20,2.0,5,10,213,171,95,289,40.83044982698962
S5,3,10,20,1.0,2,8,288,346,125,509,32.02357563850688
S6,3,10,20,1.0,2,8,291,413,118,586,29.522184300341298
S7,3,10,20,1.0,2,8,190,274,89,375,26.933333333333334
S5,3,10,20,1.0,3,8,288,269,117,440,38.86363636363637
S6,3,10,20,1.0,3,8,291,339,114,516,34.30232558139535
S7,3,10,20,1.0,3,8,190,223,86,327,31.804281345565748
S5,3,10,20,1.5,3,10,288,272,118,442,38.46153846153846
S6,3,10,20,1.5,3,10,291,340,117,514,33.85214007782101
S7,3,10,20,1.5,3,10,190,223,86,327,31.804281345565748
S5,3,10,20,1.5,4,10,288,225,111,402,44.02985074626866
S6,3,10,20,1.5,4,10,291,299,113,477,37.316561844863735
S7,3,10,20,1.5,4,10,190,193,85,298,35.23489932885906
S5,3,10,20,2.0,5,10,288,199,105,382,47.90575916230367
S6,3,10,20,2.0,5,10,291,262,109,444,40.990990990990994
S7,3,10,20,2.0,5,10,190,171,80,281,39.145907473309606
S5,4,10,25,1.0,2,8,261,346,98,509,32.02357563850688
S6,4,10,25,1.0,2,8,269,413,94,588,29.761904761904763
S7,4,10,25,1.0,2,8,174,274,74,374,26.737967914438503
S5,4,10,25,1.0,3,8,261,269,90,440,38.86363636363637
S6,4,10,25,1.0,3,8,269,339,90,518,34.55598455598456
S7,4,10,25,1.0,3,8,174,223,71,326,31.595092024539877
S5,4,10,25,1.5,3,10,261,272,91,442,38.46153846153846
S6,4,10,25,1.5,3,10,269,340,93,516,34.10852713178294
S7,4,10,25,1.5,3,10,174,223,71,326,31.595092024539877
S5,4,10,25,1.5,4,10,261,225,84,402,44.02985074626866
S6,4,10,25,1.5,4,10,269,299,90,478,37.44769874476987
S7,4,10,25,1.5,4,10,174,193,70,297,35.01683501683502
S5,4,10,25,2.0,5,10,261,199,80,380,47.63157894736842
S6,4,10,25,2.0,5,10,269,262,86,445,41.12359550561798
S7,4,10,25,2.0,5,10,174,171,66,279,38.70967741935484
S5,4,12,25,1.0,2,8,247,346,93,500,30.8
S6,4,12,25,1.0,2,8,250,413,86,577,28.422876949740036
S7,4,12,25,1.0,2,8,167,274,68,373,26.541554959785522
S5,4,12,25,1.0,3,8,247,269,87,429,37.2960372960373
S6,4,12,25,1.0,3,8,250,339,82,507,33.13609467455621
S7,4,12,25,1.0,3,8,167,223,65,325,31.384615384615383
S5,4,12,25,1.5,3,10,247,272,88,431,36.890951276102086
S6,4,12,25,1.5,3,10,250,340,84,506,32.80632411067194
S7,4,12,25,1.5,3,10,167,223,65,325,31.384615384615383
S5,4,12,25,1.5,4,10,247,225,82,390,42.30769230769231
S6,4,12,25,1.5,4,10,250,299,81,468,36.111111111111114
S7,4,12,25,1.5,4,10,167,193,65,295,34.57627118644068
S5,4,12,25,2.0,5,10,247,199,78,368,45.92391304347826
S6,4,12,25,2.0,5,10,250,262,77,435,39.770114942528735
S7,4,12,25,2.0,5,10,167,171,61,277,38.26714801444043
S5,5,15,25,1.0,2,8,217,346,72,491,29.531568228105908
S6,5,15,25,1.0,2,8,223,413,65,571,27.6707530647986
S7,5,15,25,1.0,2,8,147,274,54,367,25.340599455040874
S5,5,15,25,1.0,3,8,217,269,66,420,35.95238095238095
S6,5,15,25,1.0,3,8,223,339,61,501,32.33532934131737
S7,5,15,25,1.0,3,8,147,223,52,318,29.87421383647799
S5,5,15,25,1.5,3,10,217,272,67,422,35.54502369668246
S6,5,15,25,1.5,3,10,223,340,64,499,31.86372745490982
S7,5,15,25,1.5,3,10,147,223,52,318,29.87421383647799
S5,5,15,25,1.5,4,10,217,225,62,380,40.78947368421053
S6,5,15,25,1.5,4,10,223,299,62,460,35.0
S7,5,15,25,1.5,4,10,147,193,52,288,32.986111111111114
S5,5,15,25,2.0,5,10,217,199,60,356,44.10112359550562
S6,5,15,25,2.0,5,10,223,262,58,427,38.64168618266979
S7,5,15,25,2.0,5,10,147,171,48,270,36.666666666666664
