sample,green_threshold_factor,red_threshold_factor,green_high,red_high,live_only,dead_only,double_positive,total,viability_percent
S5,0.75,0.75,7.5,3.0,226,146,140,512,44.140625
S5,0.75,1.0,7.5,4.0,230,112,136,478,48.11715481171548
S5,0.75,1.25,7.5,5.0,243,94,123,460,52.826086956521735
S5,1.0,0.75,10.0,3.0,187,190,96,473,39.53488372093023
S5,1.0,1.0,10.0,4.0,190,155,93,438,43.37899543378995
S5,1.0,1.25,10.0,5.0,197,131,86,414,47.58454106280193
S5,1.25,0.75,12.5,3.0,173,212,74,459,37.690631808278866
S5,1.25,1.0,12.5,4.0,176,177,71,424,41.509433962264154
S5,1.25,1.25,12.5,5.0,183,153,64,400,45.75
S6,0.75,0.75,7.5,3.0,218,232,131,581,37.52151462994836
S6,0.75,1.0,7.5,4.0,223,201,126,550,40.54545454545455
S6,0.75,1.25,7.5,5.0,228,165,121,514,44.3579766536965
S6,1.0,0.75,10.0,3.0,194,265,98,557,34.8294434470377
S6,1.0,1.0,10.0,4.0,199,234,93,526,37.832699619771866
S6,1.0,1.25,10.0,5.0,202,196,90,488,41.39344262295082
S6,1.25,0.75,12.5,3.0,180,284,79,543,33.14917127071823
S6,1.25,1.0,12.5,4.0,184,252,75,511,36.007827788649706
S6,1.25,1.25,12.5,5.0,186,213,73,472,39.40677966101695
S7,0.75,0.75,7.5,3.0,143,137,100,380,37.631578947368425
S7,0.75,1.0,7.5,4.0,145,115,98,358,40.502793296089386
S7,0.75,1.25,7.5,5.0,149,91,94,334,44.61077844311377
S7,1.0,0.75,10.0,3.0,120,161,76,357,33.61344537815126
S7,1.0,1.0,10.0,4.0,120,137,76,333,36.03603603603604
S7,1.0,1.25,10.0,5.0,123,112,73,308,39.935064935064936
S7,1.25,0.75,12.5,3.0,107,178,59,344,31.1046511627907
S7,1.25,1.0,12.5,4.0,107,154,59,320,33.4375
S7,1.25,1.25,12.5,5.0,110,129,56,295,37.28813559322034
